id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384.0,Condo in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,2613,Rebecca,0.0,Hyde Park,41.7879,-87.5878,Private room,70.0,3,229,31-10-2023,2.1,1,362,19,R17000015609
7126.0,Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,17928,Sarah,0.0,West Town,41.90166,-87.68021,Entire home/apt,90.0,2,512,09-10-2023,2.91,1,335,36,R21000075737
10945.0,Rental unit in Chicago · ★4.63 · 2 bedrooms · 2 beds · 1 bath,33004,At Home Inn,0.0,Lincoln Park,41.91196,-87.63981,Entire home/apt,106.0,4,78,06-11-2023,0.66,5,225,19,2209984
1461451.0,Rental unit in Chicago · ★4.60 · 1 bedroom · 1 bed · 2 shared baths,2907254,Joe,0.0,West Ridge,42.01653,-87.68788,Shared room,28.0,1,188,21-11-2023,1.49,15,180,10,R21000075752
1502674.0,Rental unit in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,33004,At Home Inn,0.0,Lincoln Park,41.91175,-87.63834,Entire home/apt,146.0,4,110,10-12-2023,0.88,5,0,27,2209985
12140.0,Boutique hotel in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 private bath,46734,Shay And Robert,0.0,Lincoln Park,41.92357,-87.64947,Private room,329.0,2,15,21-05-2023,0.15,1,174,2,R20000055258
24833.0,Rental unit in Chicago · ★4.29 · 1 bedroom · 1 bed · 1 bath,101521,Red,0.0,Lincoln Park,41.925961,-87.656364,Entire home/apt,59.0,32,40,22-04-2023,0.24,3,216,1,City registration pending
1554433.0,Bungalow in Chicago · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,6088938,Eric,0.0,Beverly,41.71554,-87.67197,Private room,49.0,32,199,09-10-2023,1.59,2,319,2,R17000013891
25879.0,Rental unit in Chicago · ★4.32 · 2 bedrooms · 3 beds · 1 bath,101521,Red,0.0,Lincoln Park,41.92499,-87.65573,Entire home/apt,74.0,32,49,30-09-2023,0.3,3,365,2,City registration pending
28749.0,Loft in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,27506,Lauri,0.0,Logan Square,41.92137,-87.67932,Entire home/apt,139.0,2,195,17-12-2023,1.23,1,177,31,R22000079930
1562331.0,Rental unit in Chicago · 1 bedroom · 1 bed · 1 shared bath,3710712,Rick,0.0,Portage Park,41.95993,-87.77808,Private room,0.0,32,0,0,0.0,1,87,0,0
37738.0,Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1.5 shared baths,162364,Mat And Randy,0.0,Uptown,41.97303,-87.66567,Private room,0.0,32,250,15-03-2020,1.53,2,0,0,R20000059426
1573401.0,Home in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,8186262,April,0.0,Lower West Side,41.85592,-87.66249,Private room,48.0,2,362,25-11-2023,5.02,2,125,57,R21000069179
71930.0,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,334241,Michael And Veronica,0.0,West Town,41.89615,-87.67934,Private room,96.0,3,109,22-10-2023,0.71,2,270,13,R17000013986
1584422.0,Rental unit in Chicago · ★4.93 · 3 bedrooms · 8 beds · 2 baths,2810938,Carole,0.0,Near North Side,41.90532,-87.64761,Entire home/apt,514.0,3,45,05-11-2023,0.36,3,0,12,2555923
1591370.0,Rental unit in Chicago · ★4.83 · 1 bedroom · 4 beds · 1 bath,8489460,Holly + Mark,0.0,Rogers Park,42.01177,-87.67758,Entire home/apt,129.0,2,189,16-10-2023,1.51,1,350,20,R22000090320
84042.0,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,334241,Michael And Veronica,0.0,West Town,41.89615,-87.67934,Private room,0.0,3,132,09-10-2023,0.86,2,0,8,R17000013986
1614802.0,Rental unit in Chicago · ★4.91 · 1 bedroom · 2 beds · 1 private bath,8595700,Carin,0.0,Lake View,41.93455,-87.66141,Private room,68.0,4,352,18-11-2023,2.99,1,250,33,R23000105186
94450.0,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,504470,Mark,0.0,Edgewater,41.9796,-87.66512,Entire home/apt,111.0,3,20,03-12-2023,1.17,1,120,13,R22000082956
1620098.0,Rental unit in Chicago · ★4.66 · 1 bedroom · 1 bed · 1 private bath,8619275,Leszek,0.0,Lincoln Park,41.92817,-87.64282,Private room,150.0,1,68,08-10-2023,0.54,1,82,12,R22000079040
145659.0,Rental unit in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,683529,Joe,0.0,North Center,41.94342,-87.68121,Entire home/apt,198.0,1,76,26-11-2023,0.76,23,353,19,2209272
1648786.0,Home in Chicago · ★4.78 · 2 bedrooms · 2 beds · 1 shared bath,1426804,Afri,0.0,Chatham,41.72706,-87.61164,Private room,55.0,2,104,01-08-2022,0.83,1,0,0,R17000013914
145690.0,Rental unit in Chicago · ★4.78 · 4 bedrooms · 4 beds · 2 baths,683529,Joe,0.0,Lincoln Park,41.91289,-87.63864,Entire home/apt,298.0,32,86,11-08-2022,0.83,23,361,0,2083778
189821.0,Rental unit in Chicago · ★4.95 · 2 bedrooms · 3 beds · 1 bath,899757,Meighan,0.0,Logan Square,41.92918,-87.70219,Entire home/apt,200.0,2,638,03-12-2023,4.28,1,261,43,R21000062936
1663673.0,Rental unit in Chicago · ★4.90 · 1 bedroom · 2 beds · 1 bath,8813383,Mindy + Tony,0.0,West Town,41.89322,-87.68572,Entire home/apt,96.0,2,395,25-11-2023,3.27,3,0,39,R22000090635
1668481.0,Rental unit in Chicago · ★4.82 · 2 bedrooms · 2 beds · 1 bath,531832,Evan,0.0,West Town,41.89678,-87.6971,Entire home/apt,0.0,32,116,20-05-2021,1.19,1,0,0,R18000026178
207218.0,Rental unit in Chicago · ★4.90 · 1 bedroom · 1 bed · 1 bath,1019125,Jb,0.0,Pullman,41.68843,-87.60712,Entire home/apt,100.0,32,316,16-10-2023,2.11,3,328,18,R21000073121
1759266.0,Rental unit in Chicago · ★4.81 · 2 bedrooms · 2 beds · 1 bath,9249272,Mark,0.0,Lake View,41.93396,-87.65897,Entire home/apt,173.0,2,78,24-11-2023,0.68,1,0,17,2209110
207351.0,Place to stay in Chicago · ★4.91 · 1 bedroom · 1 bed · 1 bath,1019125,Jb,0.0,Pullman,41.68954,-87.60786,Entire home/apt,50.0,32,46,08-08-2023,0.31,3,178,2,R21000073121
220333.0,Rental unit in Chicago · ★5.0 · 2 bedrooms · 1 bed · 1 bath,1019125,Jb,0.0,Pullman,41.68912,-87.60725,Entire home/apt,100.0,32,4,08-07-2023,0.03,3,218,2,0
